id,chinese,translation
f00d60078226a4dafdbd79f5656fd6fede51e6b6,早安 你要去哪裡,"Sudah An, kau pergi mana"
a0c156133eeb01181f7d1fa4eb1aad472a66974a,我要回部落探望父母,Saya mau pulang suku mengunjungi orang tua
fd5cd9d658f41008a7e091d4736573a519d3d490,他們都好嗎,Mereka semua baik?
5c28ed25944462b6eb2dfe1cbf5060aec8f6f0a1,都很好,semua bagus
0f85f64d319726cf7e8c1b0f5a38c87375e3fb45,你要去幾天,Kau pergi beberapa hari
6cf3db7da712d33a3dacb15be6e7650b1679cc2b,明天就回來了,Besok saja kembali.
6880d4fda9040115d8921f4320ff97ad920084e2,好久不見,Lama tak lihat
d4837d211823b9436715fb370522807472f05c94,是啊 很久沒看到你,Ya ah lama tak melihatmu
db08c22bc1397f4b617373e1c2434286e44d6085,明天有空嗎 我們一起吃午飯吧,Ada kosong besok? Kita bersama makan siang makanlah
f39781758bf6a4a8f1305b6f727bb7e2ad7198f5,有空 要在哪裡吃飯,Ada kosong Ke mana makan makan
89ab70de525b7cbcb4c8df1800e8dc80933331d0,到我家來吧,Ke rumahku datanglah
f2034413272dd253a87439de2aa8638f62776e2b,好的, bagus
bb27b091c2b99c02da6bcdf3b8d129cf87589f2f,他對賽德克族文化很有興趣,Dia memiliki minat pada budaya Sidek
9ccedadf3034c14a3224a49d4e054302cfb00eef,很高興認識你,Senang bertemu Anda
0bb235c4903c3bf045c3bcbb2ae9d21507053b63,我來自南投 我是賽德克族人,Saya dari Southpo. Saya suku Seydek.
e27e8a5db63beddc4814855a3afce5a1f2d42391,請問你在哪裡上班,Silakan tanya Anda di mana bekerja
12b117e693dbb1ad94b41221f0229252712d86d8,我在埔里上班 我是族語老師,Saya ke kerja di埔ri Saya guru bahasa etnis
a7ab766f7ddbdd202c1e76edc44bc29b983faee6,你是教什麼語的老師,Kau adalah mengajar apa bahasa yang guru
370c9961315dae754c765e191f146f39859b42a3,我在教賽德克語,Saya mengajar bahasa Seytek
2d6a6d17998ac195dd71d256fe311e7ff8e23638,我的肚子好餓 有東西可以吃嗎,Perut saya sangat lapar Ada sesuatu bisa makan?
ec094399d31755f2beec85ee49e599d09aa2adeb,冰箱裡有一些水果,Di lemari es ada beberapa buah
6a1f597e652f0f51b9de75314868cd6113b9119a,水果吃不飽 我想要吃飯,Buah makan tak kenyang Saya ingin makan makan
1a7710665fe0c3a25fabe643a216608e04aded1d,好 我炒飯給你吃好嗎,Saya bagus炒飯 untukmu makan baik?
9e9d48d8966d5666498879fecdc1c08dffbcf3d0,我有點累 需要休息,Saya sedikit lelah perlu istirahat
25e27fddb929ed1d78c8f593f748ea9027d670a0,那邊有張椅子 你快去坐下吧,Di sana ada kursi. Anda cepat pergi duduklah.
a6d58f83ba9d8d5b4e212d475c2bf43d1c619cbc,還有多遠呢 我已經走不動了,Masih berapa jauh? Saya sudah berjalan tak bergerak.
7e0172b933254be6e6f1734aaa46fafec1dc3c36,快到了 加油吧,Cepat sampai tanki bensinlah.
1162f5a98adbc1445ba8a39c0164b97430ce5665,太陽好大 我流了好多汗,Sun big Ive shed lots of sweat
c07e25b65bc4afed3f93fbc5d65a383f06088f03,我有帶毛巾 你擦汗吧,Aku punya handuk kau sapu keringatlah
d066699bfad36a68ced361a89beef90f59cf6ca9,我的口很渴 你有帶水嗎,Mulut saya sangat haus Anda punya bawa air?
8dd742aed3ab43d6d613442a37c123f86e1682ac,有 給你喝吧,Ada untuk kamu minumlah
22fa1627825e143bdc54927246152f21fad57c80,今天天氣怎麼樣,Bagaimana cuaca hari ini
e259514bcb0c0cb52e1553b1938aa9daad462121,今天出太陽,Hari ini keluar matahari
2cdaca48e05df06e8a4e01ea11b6f96acd2688e6,昨天晚上有下雨嗎,Ada hujan tadi malam?
268df5a8634c8c1714153851402bbc51b3e79598,好像下了毛毛雨,Seakan turunnya hujan bulu
1044562c401dc75cd0a608809ab6544eb323d75e,明天天氣怎麼樣呢,Bagaimana cuaca besok?
837a943574b44a92bf0c5f54c52c7cd623313985,聽說颱風快要來了,Dengarnya topan akan datang segera
4ad5788b611c3246cb22010d1a28643f5b01ba0b,今天天氣很熱 我流了很多汗,Hari ini cuaca panas dan saya berkeringat banyak
baf151d4e3a822bc0ec07034996f1c516fcc5bca,回去洗個澡 一定很舒服,Kembali ke mandi yang pasti nyaman.
262e884d61b5d7f713f581d1e39cc49b8b732f89,聽說明天又會下雨,Tulis mengatakan besok akan hujan lagi
f1d1e8fad8945a3253792f5980101c29dc73072a,出門記得帶雨傘,Keluar dari pintu ingat bawa payung hujan
2e69ad257efc0be293216c0062e1e328de907efa,你是哪一年出生的,Anda lahir pada tahun mana
7e7da53978c9fa0757b3bc21f5d2cb50a38e6f8b,你的生日是什麼時候,Kapan ulang tahunmu?
4172e794680ad3b33c9c49a7d97f702608fa8076,你是夏天出生的 難怪特別熱情,Kau adalah lahir musim panas  tak heran semangat khusus
65f77720b433391d44385ce0b43dbfabdf3d7ec9,今天是幾月幾日,Hari ini adalah beberapa bulan beberapa hari
5b1504ec5520ce1b143dc04c49dd0764c01c7f5e,今天星期幾,Hari ini minggu berapa
841f98a71c196cd5e956dd0facc9129779f4c306,今天星期六,Hari ini Sabtu
56f045afb9b0f14da0b3fb90fcbcef3aece2f103,現在幾點了,Sekarang berapa jam lagi
8eb4126035345b0535c271e1ed0d13f54524185b,請問這附近有沒有銀行,Tolong tanyakan apakah ada bank di sekitar sini
be9eee5897db8a985d4348f29ebf92bb14ef09e8,有兩間,Ada dua kamar
500643569aac89e31cbdf07f469f47f0ca430e55,請問這裡最近的銀行要怎麼去,Silakan tanya disini bank terdekat untuk bagaimana pergi
6cd3dd981fe1360a6a91031da549f632857abdad,一直直走 就看到了,"Selalu berjalan, dan melihat"
08f27a52d96681de22fb472693e4097625fac0f5,距離這裡遠嗎,Jarak jauh disini?
8e9a5bc4e101b771586305f5358b4ad5fe5f6950,不會很遠 步行大約十五分鐘,Tidak jauh banget. Berjalan sekitar lima belas menit
26b6adcbf623e79d96a4fca3367fd6ee76ee5ec9,好 我知道了 謝謝你,Baik tahu sudah  terima kasih kamu
cfc8f519b92bbc07d6f58990e6102f5e7621e21e,對不起 我迷路了 可以告訴我怎麼到菜市場嗎,Maaf saya tersesat sudah Bisa memberitahu saya bagaimana ke pasar vegetasi?
ef8d81914f712b03030f7b55d665da565f295189,從這裡直走再右轉走到底 就可以看到菜市場,Dari sini berjalan lurus lalu belok kanan berjalan sampai akhirnya akan dapat melihat pasar veget
0979b8d1c23d6faf6d45cc621bd520d1d0cd50cb,謝謝你, Terima kasih Anda
c358ab8d7e7dbc493a6752e162e231b68daa4fe7,你要買什麼東西,Anda mau beli apa東西
b97851356c91da3a33de39a7837a3aa2725552ba,廚具放在什麼地方,Peralatan disimpan dimana
2ae0c24fb6ff5f76eeab01ef9b06a4bfc305945e,在門的後方直走就看到了,Di balik pintu yang lurus berjalan saja yang terlihat
36ba6b8479fd96f35318b1f05ee08abef31c9422,知道了 謝謝, tahu sudah  terima kasih
5f562499fd1a4954536abbd5e4a617278c076653,我想買一頂帽子,Saya ingin beli topi.
dd2c16a005b518554909ebd918f09e54d0529448,你喜歡什麼顏色呢,Anda menyukai warna apa?
0b78ed91082a79d6c06ce126ade58331dd9a6b1b,喜歡紅色的, menyukai merah
203b35fbf696ac7efc32a3da249242bc00013be1,好的 請試試看這頂, Baik silakan coba coba lihat ini atas
cb4a9fd6b924e5b5ea24a92d67e07c1fda954ac7,這頂帽子稍微大了一點 是否能給我小一點的尺寸,Ini topi sedikit besar satu bit. Apakah bisa memberi saya ukuran yang lebih kecil sedikit
7329726da7a387c5c1198dae671f66b10fe3528c,稍等一下 馬上拿來,稍等一下 马上拿来
b6427211f84d373387081efe9bf7ffac42645535,我覺得這頂很適合 請問多少錢呢,Saya pikir ini atas yang cocok Tolong tanya berapa harganya?
c8143ae0aae8969c6ae29978cb9cb99238b8c4fc,正好周年慶的活動 比較便宜,"Acara yang tepat perayaan ulang tahun, relatif murah"
b43ba3e1beb74e293b9e6f5c6391106c5772d6e7,你明天會來聚餐嗎,Kau akan datang besok makan malam?
cf446a6226bd32061bba50d17499ea9227727c26,對不起 我明天有事情要忙,Maaf saya punya hal yang sibuk besok
95bcbb2b0059c19b9a2322694202b1c4a8216bf4,真可惜 難得大家都有空,Memang sayang  susah yang semua ada kosong
1d764564400c6b3a97420ac84af5875d521bf159,沒辦法 只好下次再參加了 祝你們玩得愉快,沒辦法 hanya baik lain kali lagi ikut. Semoga kalian bersenang-senang
7700e5e1789f88e819cf7456fcf8fa036349a87f,你把價錢算錯了,Anda menghitung harga yang salah
43ea42370bf2b91950204e9ceff76c8583d85757,真抱歉 我算錯哪個部份,Benar menyesal saya hitung salah bagian mana
