id,chinese,translation
1067b140ee628aba2fd467438169d35544d4a5d5,早安 你要去哪裡,"Sudah An, kau pergi mana"
595fde3f8593b204b2ed96066601e1fd50af08c5,我要回部落探望父母,Saya mau pulang suku mengunjungi orang tua
8b620ed5d0bbba5ae19e8348c124b9c07098ef65,他們都好嗎,Mereka semua baik?
e775c243009c87fc1304f149c2bb0baf2272eaea,他們都很好 謝謝,Mereka semua baik  terima kasih
c81e612c56a9e41cbedd1708a7c9993c175564ea,你要去幾天,Kau pergi beberapa hari
ba696cb32ed2117f72b18d5812a712104789b12b,明天就回來了,Besok saja kembali.
2cefc545d6edd9dc5c5c7fe348b8afa7b01eda2a,再會 慢走,Lagi akan  pelan berjalan
8792e827635c2213893779c911c4c2e31a003b0f,好久不見,Lama tak lihat
9cac4330be060bbb8f41c5f95809def3e2175638,是啊 真的很久沒看到你,Ya ah benar lama tak melihatmu
221daf0470eb42c447c685ecf72314886569b697,你明天要去哪兒,Kau besok akan ke mana
262c9a062c3d082780cfef83c96b8bf7b50f686e,我要去山上看我撒的小米種,Aku mau ke gunung melihat biji beras kecilku tanam
0bc97dc03afcc7d2fcd11e45de2032fc41fa689d,真高興遇見你 我叫立督克 帖木 你叫什麼名字,Sangat senang bertemumu Aku nama Li Dukok 帖木 Kau memanggil apa nama
70b64b88015e47ab42be85c1a20bf18ce7abd578,我的名字叫巴萬 搭那哈,Nama saya namanya Ba Wan 搭那哈
7626ee91ad618a196043c29be11aaf87d736680e,他是我的朋友,Dia teman saya
d22ff39b91cbd31f63fbbd9e6fbe088db208a0ee,我是日本人 來學太魯閣族語,"Saya orang Jepang, datang belajar Taurus Gakuen"
469b9d0373a299429b6e0265cf2a1ad89550351f,很高興遇見你,Senang bertemu Anda
615a813267599dfa07c4be98af04f452fe78ac08,我是太魯閣族 來自布洛灣部落,"Saya Taru Kak clan, dari suku Bulo Bay"
7d0ff42fc9363ab866f7db115b71931c3f46011c,你在做什麼工作,Anda melakukan apa di pekerjaan
82b89f70e07435539fe2fdb9e77c95c9608a09a9,我是老師 在教太魯閣語,Saya guru Di mengajar Bahasa Taurus
eab9e19a130c0ea0a3eee8555c8461b11c9f4b3f,你認識巴萬老師嗎,Anda mengenal Ba萬 guru?
fcc56c2812652f22df1e22b1945a35db9fe42603,我認識 我們是朋友,Saya kenal Kami adalah teman
03008cd8dd944af957c1ac4d14fc1ffb766e88f5,我的肚子好餓 有東西可以吃嗎,Perut saya sangat lapar Ada sesuatu bisa makan?
aafe356f92bffc63f34c2253c07a376b5599dfc9,這裡有一些香蕉,Di sini beberapa pisang
d4ee9cd30c4cbf6b94b7a6b86c5dd1d03834e1af,水果吃不飽 我想要吃飯,Buah makan tak kenyang Saya ingin makan makan
30ce05b1ac97e9f2025d155b1fab1e7b1dd155c9,這樣喔 好 我來煮飯,Baik begini喔 Aku datang masak makan
498704f1705160dfaddd6d048c1894e10b4ae74a,我有點累 需要休息,Saya sedikit lelah perlu istirahat
0378993f0b55120e8391102dac681fabe24d3c96,那邊有張椅子 你去坐一下吧,Di sebelah sana ada kursi Anda pergi duduk saja.
b5068dc7eecac41d948584895fdfbf10df0ab611,還很遠嗎 我走不動了,Masih jauhkah Saya berjalan tak bergerak lagi
25ac7619fadf41fef95ae6142258e924a42c5fec,快到了 加油,Sudah Dekat Pengisian Bahan
e41591a361b7f4b158261913851811126d959bab,太陽好熱 我流了滿身的汗,Solar panas Saya mencair keringat di seluruh tubuh
6cdaf3928fe552db6661ef5b9ce14ee4e5bd6004,是喔 這裡有水 拿去喝,"Ya yah disini ada air, ambil dan minum"
2b70b1a4c11e4781cac1f78befa946c39f78e39f,今天天氣怎麼樣,Bagaimana cuaca hari ini
4bd0727a53fbc54e2749ab1a165c09805dbd7e3d,今天天氣很好 出太陽了,Hari ini cuaca bagus Keluar matahari
14c54c988f834e91fb37aa3e7c9c12ca520b1c11,真的 我喜歡出太陽的天氣 不喜歡下雨,Saya benar-benar suka cuaca yang keluar matahari Tidak suka hujan
c38fabe1f1d75cef712dbfa95ad9f0cb837a041f,明天天氣會怎樣呢,Bagaimana cuaca akan besok?
3917bb9e103c9a76d21acbee603c0f0889632585,聽說 有颱風要來, dengarnya Ada Topan yang akan datang
0b962f91a6696faf421f56e27462259d9120e461,昨天晚上有下雨嗎,Ada hujan tadi malam?
ac394e6934ae3340458259e36dce3df75249c163,下過一場大雨,Setelah satu hujan lebat
e044dbc2b9af4c577c6d658539b7e07ffd3cc1d0,今天天氣好了,Hari ini cuaca bagus
68e53b08462a282bacd47cde23537fb3d23b5693,聽說 明天又會下雨,Tulis mengatakan besok akan hujan lagi
5965f08e2ce8107bd79614eb79f488c86d4d716c,出門記得帶雨傘,Keluar dari pintu ingat bawa payung hujan
d375663bc39a15f1111bef8383c8735b9be07ef9,你是哪一年出生的,Anda lahir pada tahun mana
4f4878e033751d5fea0bb3ec8564fa3df23ce842,你的生日是什麼時候,Kapan ulang tahunmu?
634dd2284b52d9b95194dc25a1dd19fdcc024246,你是夏天出生的 所以特別活潑,Kau adalah lahir musim panas jadi spesial hidup
7504e1434193e15993989074d0c73560563aa984,今天是幾月幾日,Hari ini adalah beberapa bulan beberapa hari
054b29c665d8d7ffe42def8bda72aa4f38275f0b,那今天是星期幾呢,Kalau itu hari ini minggu berapa?
0ae0746f53031f3b60b781fecb015d5fd414a720,今天是星期六,Hari ini adalah Sabtu
3de4db8d8b76edb2770cd2e1da597c83f58e2765,現在幾點了,Sekarang berapa jam lagi
