id,chinese,translation
1a3c0b85e8c2ed4194e29d613141c0f5b0c9f3ec,我要去探望父母,Saya mau mengunjungi orang tua
f2eb4d3b96e03901c82b601f488c7ba232322353,他們都還好嗎,Mereka semua masih baik?
bc9f20e58aa94d8d6325cd44ed4d4ef2eb22ea5e,還好啦,還好啦
8df51c6d4f6053777785b98bab38c545beaf3fc4,妳現在做什麼事,妳現在做什麼事
9a3c0396a40e6ebfd634e2239c5b1f7e58ef3418,沒做什麼呀 我都在家裡,沒做什麼呀 Saya semua di rumah裡
ddfb6a7ea1cab73e75f000112b1bed1047ff7770,明天有空嗎,Ada kosong besok?
2f28634fc8c38fe8e1852be20480a624fd13a2c6,有啊 幹嘛,Ada ah 幹嘛
4b4c349f952957316401546707b56988c39f218e,一起吃個中餐吧,Bersama makan sebuah makanan Cina
c9065ecfe9e32017668e49e935fa5051091be7df,好啊 那麼我們的地點呢,"Baikah. Nah, dimana tempat kita?"
bd56d822d0afae95f7e644e57443db43b5bcfa90,在我家,Di rumahku
3cd4b24741b25eab2d20fa893412dc7f45b0b6c9,好 可以,Baik boleh
2ea9da77f7258db51a1a78c9074bf6fc170b3231,你好 請問你叫什麼名字,Anda silakan tanyakan Anda namanya apa
470c24b536d3bd69ed1fa30ccee9a99e87f1790f,那位是誰,Siapa itu orangnya?
bc6d1aa3560c56b5d9668ff65bce158fb39946bf,他是打從哪裡來的,Dia dari mana datang?
85353ef99759cc11266bf744bb6958a9bf41abc0,從日本來 來學阿美語,Dari Jepang datang belajar bahasa Arame
cbb9a655c2a853cc52b2a756ed7515ec4fbb28f5,那位又是誰,Siapa itu lagi?
3a43ac343a02fe4c359f55c010b6e6dea644be07,妳是從事什麼工作,妳是從事什麼工作
eec990252c479842990b3c53b2b53e2882202b62,我是老師,Saya guru
e9c58b56db904db68df00a4766098f6d68b301be,妳是教什麼的,妳是教什麼的
adcc725af71a8931046f4a5a22d5b0246ca271ad,阿美語,Arameik
7f7b2f0d6f4ada0227a835318205fc29d000a849,媽媽 我肚子餓,媽媽 我肚子餓
314224128b3f8cdd7baf35c58cbd463d0ef2a782,剛吃過午餐就肚子餓啦,"Baru makan siang habis, perutnya lapar lah."
af2b07e64411816bca3c439d68ca2163578ba1b1,我們沒吃午餐,Kami nggak makan siang
539ba9c2a48fb73f6dd598062b288932c023e972,為什麼你們沒吃午餐,Mengapa kalian nggak makan siang
c510392cd3bdf9864dbeee9f173a2c2b143bd1a4,老師不讓我們吃午餐,Guru tidak membiarkan kita makan siang
